trackID, danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence
0320Znq32w8HZjo8tMQjBI, 0.832, 0.57, 0.9918910056448687, 0.299, 0.743, 0.000441, 0.129, 0.729
0bNPzbyaT9npwhIP8d2Rsi, 0.877, 0.515, 0.9903536126630408, 0.0432, 0.133, 0.0228, 0.0753, 0.904
7i47lf1W2WA41wagWBD3zH, 0.825, 0.526, 0.9953323269228193, 0.247, 0.373, 1.49e-06, 0.253, 0.756
1bfTXGpAL4638bmw5Krpb3, 0.707, 0.684, 0.9937969892792025, 0.0623, 0.512, 0.0196, 0.0981, 0.763
1J3w85cS3FEmoSKRu2dQJ8, 0.561, 0.0859, 0.9911312156195355, 0.0511, 0.94, 0, 0.16, 0.117
06suFc0VLlAItrJx5qQ0Bp, 0.465, 0.768, 0.9944896382563093, 0.156, 0.00598, 0.019, 0.137, 0.347
29m5S52N8hdny9n5l3Q5J4, 0.539, 0.353, 0.9893697907727087, 0.0792, 0.856, 0.0294, 0.0938, 0.481
7dZAPeA3Of5j5Vaef0DQ6M, 0.93, 0.712, 0.9954624983428494, 0.0666, 0.245, 1.48e-05, 0.116, 0.456
1xSbrJK5n4NCgjoUaLDDai, 0.614, 0.672, 0.9934907438857634, 0.15, 0.134, 0.00012, 0.171, 0.225
3c5gLGgwRrE7sQYSNHCXEj, 0.624, 0.453, 0.9927028642382135, 0.0369, 0.453, 0.000995, 0.13, 0.272
1uGVyCNOF5uu3v4om7IdGi, 0.436, 0.658, 0.9925596756761805, 0.319, 0.168, 0.0107, 0.112, 0.694
3ijXR4yXgN43eF54uK7oos, 0.611, 0.386, 0.9916532715251295, 0.0291, 0.101, 0.000711, 0.175, 0.189
6ipHHduhyBs9bafGsctid1, 0.558, 0.0525, 0.9810902033460642, 0.0365, 0.928, 0.982, 0.144, 0.154
1LeWIs2hP2r5yOQnVuYoI5, 0.663, 0.6, 0.9915477641636316, 0.032, 0.43, 0, 0.184, 0.8
1lxtMDSJ6C4aQChZc9uW6q, 0.688, 0.564, 0.9948595991342895, 0.0635, 0.000327, 0.8, 0.117, 0.598
4lrkAUjZqFCofSF4QplDYd, 0.755, 0.289, 0.9923781208008756, 0.0614, 0.535, 0.000529, 0.109, 0.646
36YCdzT57us0LhDmCYtrNE, 0.738, 0.885, 0.9951946192626824, 0.206, 0.0133, 0, 0.0821, 0.752
4IMewqxxzXfyG7GVT1nEZp, 0.388, 0.226, 0.9901919260571087, 0.0471, 0.933, 1.16e-05, 0.101, 0.223
5z5LecDxZKTsO6t4pCN1Xg, 0.895, 0.555, 0.9938134319848905, 0.0417, 0.212, 0.0083, 0.159, 0.742
1jQfgl9WRle7D8a3GXLwaD, 0.498, 0.292, 0.9916943782893496, 0.031, 0.511, 1.9e-05, 0.256, 0.348
03sEEzFv7vnD54KRwU47Ue, 0.716, 0.656, 0.9939997826493544, 0.167, 0.0573, 0, 0.329, 0.496
1gnwGVoG7V08vMX3hyr90x, 0.805, 0.833, 0.9943841308948115, 0.12, 0.0859, 0, 0.0578, 0.703
73Qo01tXs93SJObFnkVEN8, 0.63, 0.438, 0.9890265492914718, 0.192, 0.0596, 0.154, 0.449, 0.376
3TF8WnA1fwk5LJiwsCOKDe, 0.541, 0.214, 0.9868266522929648, 0.0746, 0.806, 0.144, 0.189, 0.346
4tph7twTQ2WSXfSG5Y25Cp, 0.551, 0.639, 0.9931351703752604, 0.396, 0.0442, 0.000405, 0.121, 0.116
2N4idqj9TT3HnH2OFT9j0v, 0.709, 0.496, 0.9917820727196855, 0.0417, 0.581, 0.195, 0.151, 0.469
3UJ6OVh78Nazf6W92XJMXp, 0.561, 0.0954, 0.9847213008521639, 0.0347, 0.994, 0.766, 0.102, 0.158
4NeOWqHmlrGRuBvsLJC9rL, 0.771, 0.68, 0.9949657916085244, 0.224, 0.277, 1.18e-05, 0.682, 0.808
0rKtyWc8bvkriBthvHKY8d, 0.515, 0.479, 0.9938853688222755, 0.0261, 0.544, 0.00598, 0.191, 0.284
2tznHmp70DxMyr2XhWLOW0, 0.636, 0.676, 0.9966367815740672, 0.0263, 0.0807, 0, 0.0831, 0.273
1SJkTuUNKe4rYQgX8wmqku, 0.633, 0.399, 0.9917546682102056, 0.0489, 0.949, 0.571, 0.104, 0.466
3hR48Bj9Wgl6xunDG4nsRZ, 0.806, 0.809, 0.9940758301631614, 0.159, 0.141, 8.64e-05, 0.0739, 0.685
5CMjjywI0eZMixPeqNd75R, 0.832, 0.659, 0.9936318771095854, 0.057, 0.0839, 0.00114, 0.0753, 0.674
609zyrS2WWAb1xubeaLu4T, 0.527, 0.183, 0.9903796469470467, 0.0415, 0.421, 0.00371, 0.963, 0.396
2u0qubcM1cdi1ZcO0j7edE, 0.697, 0.444, 0.9917169870096706, 0.0679, 0.136, 0.727, 0.0688, 0.975
5LeB999d5zGavmLn8zxExw, 0.36, 0.891, 0.9949699022849463, 0.0341, 0.00151, 0.185, 0.291, 0.604
1ecdTZufvS62SLVPZTivYd, 0.607, 0.277, 0.9910305040471966, 0.163, 0.077, 3.97e-06, 0.068, 0.669
5UHjWOJA6MDl1g3x2HC68V, 0.723, 0.758, 0.9939915612965105, 0.148, 0.000588, 0, 0.357, 0.628
5VtDxykRSGo1naBuCJplEG, 0.587, 0.871, 0.9947376490671034, 0.0297, 0.228, 0.00151, 0.0781, 0.431
0G2OvqpvifsIHALlLqB5NG, 0.63, 0.487, 0.9918094772291655, 0.0531, 0.196, 0.00316, 0.133, 0.147
4rnSq8xRLFKhd8Sh7r6h39, 0.544, 0.464, 0.9912716637306206, 0.0325, 0.739, 0.757, 0.0969, 0.184
1PmaWG47wJRCIOM9v8Bauo, 0.63, 0.939, 0.9967388633718802, 0.0323, 0.143, 0.0149, 0.115, 0.629
3yvO1nP2boNZtMhsljgVZ0, 0.837, 0.459, 0.9937366993583464, 0.0406, 0.0194, 0.128, 0.0638, 0.694
4ZsxteFcjn4BKp5hGMnTt3, 0.663, 0.805, 0.9951459762583553, 0.183, 0.326, 0, 0.336, 0.615
0jWKeM9GbmR1tG6yLP2wX2, 0.56, 0.402, 0.9927843926539165, 0.0288, 0.876, 0.00973, 0.0929, 0.355
0QxAmA1fatd9pEV184gjMO, 0.508, 0.285, 0.9822617461263343, 0.288, 0.758, 0.759, 0.117, 0.429
77V4RwChUT3LFMyhulCOdp, 0.838, 0.307, 0.9889922936546217, 0.268, 0.336, 0.478, 0.104, 0.337
4AF9H0B82JmQbxsRP7fEFO, 0.651, 0.443, 0.9923760654626645, 0.0353, 0.544, 0.00493, 0.564, 0.856
40YkgUfMvXowQd8WuwCqJG, 0.614, 0.408, 0.9912750892943056, 0.0962, 0.565, 0.000169, 0.0937, 0.521
44NwjH8iMskEqgvpkbDfzT, 0.508, 0.791, 0.9944827871289393, 0.417, 0.157, 0, 0.222, 0.719
5IIq5uEYpUZoSjTEjqn7q1, 0.685, 0.745, 0.9944327738991383, 0.117, 0.259, 3.11e-05, 0.107, 0.834
5LQecKwQNqdf2uKdrJN04v, 0.405, 0.121, 0.9831215626112692, 0.0329, 0.945, 0.00148, 0.112, 0.347
0AU66TowF4rbAJ1c6GRq61, 0.362, 0.548, 0.9932797291627674, 0.0407, 0.305, 0.243, 0.683, 0.147
15xJZKOgH0HJn9sxx3ow9P, 0.577, 0.385, 0.9944403101392454, 0.0332, 0.944, 0.622, 0.109, 0.163
2cihXN96trWaq3CkQdJG2I, 0.935, 0.255, 0.9913847073322256, 0.0532, 0.393, 0.00038, 0.0616, 0.946
0jbjm2p0qkEfpeoNCywnM2, 0.746, 0.499, 0.9943539859343834, 0.0489, 0.328, 0, 0.127, 0.392
39SJuiZ4ouGoFO7jS8N52M, 0.84, 0.855, 0.9962209181427082, 0.121, 0.0363, 3.35e-06, 0.136, 0.555
7f1zjZG77S891Uv4O68yfk, 0.852, 0.73, 0.9950192304020105, 0.0579, 0.0219, 0, 0.336, 0.394
6B8h0AJ9iFdXBiiJkPHv69, 0.416, 0.443, 0.9928008353596045, 0.302, 0.682, 1.82e-06, 0.418, 0.834
2mGWmvIIvs7jKEXxyh7Wfb, 0.612, 0.792, 0.9939374373902874, 0.0278, 0.021, 0.951, 0.0987, 0.546
4jwP0pxx7su04FYc6J12EQ, 0.68, 0.62, 0.9954892177395923, 0.0607, 0.319, 1.14e-06, 0.158, 0.537
1TkKBy255D79PrpxFHDdyI, 0.628, 0.235, 0.9894917408398948, 0.0295, 0.679, 0.00699, 0.102, 0.224
7G1z481K0xAULT3eVaaNQD, 0.759, 0.505, 0.9939531949832384, 0.0518, 0.22, 1.15e-05, 0.293, 0.802
1RmXHzuy2LLYhxP6ofbti2, 0.697, 0.458, 0.9922184895331546, 0.194, 0.718, 0.00195, 0.166, 0.561
0qp8MuZNKelOGTK2HPlXBA, 0.302, 0.669, 0.9925521394360736, 0.238, 0.275, 3.58e-05, 0.369, 0.127
2xy3bvhsNfNgrkNyOUu3GC, 0.409, 0.636, 0.9931543535318964, 0.0665, 0.145, 0.000309, 0.315, 0.243
0YkyLCW2dNHZFRjNbrrwkK, 0.377, 0.46, 0.9919882916535225, 0.0328, 0.812, 9.02e-06, 0.203, 0.483
43YfGe2jRCavkmOR3SQkUR, 0.499, 0.544, 0.9919971981191035, 0.0427, 0.384, 0.872, 0.154, 0.449
6HszFW6X5wM8DKX1SO0LaK, 0.628, 0.827, 0.9968443707333782, 0.04, 0.0616, 0, 0.495, 0.429
4fJtDPJ2NiLfFfZfu8HyYc, 0.436, 0.434, 0.9935380166646165, 0.031, 0.119, 2.95e-06, 0.183, 0.121
79MSEdtXuudhGhC5AtG07g, 0.596, 0.678, 0.9954460556371614, 0.0335, 0.0199, 0.004, 0.418, 0.259
36rqjSUBaArtMBLWrzwInc, 0.573, 0.473, 0.9915690026584786, 0.0268, 0.0944, 0.397, 0.199, 0.515
5xHvxOGmmVWSo5CL27zFml, 0.752, 0.564, 0.9887360614909837, 0.0617, 0.701, 0.782, 0.347, 0.523
3HdrN4xHTPhxQGdTSo2spQ, 0.639, 0.957, 0.9936072130510535, 0.385, 0.00831, 0.853, 0.203, 0.187
444Rzzl3T2YOoAN4nQNoMI, 0.538, 0.695, 0.9936140641784235, 0.0389, 0.0794, 0.0147, 0.163, 0.728
3XEtw7t4V5sfd2vtkp0ql7, 0.734, 0.58, 0.9944601784086184, 0.0321, 0.238, 0.0006, 0.0298, 0.962
3JpJFFshP6MObtDWPRlmys, 0.635, 0.817, 0.9928433123492986, 0.0379, 0.211, 0, 0.249, 0.917
0E9jxLf6Jt9QasvRjTCpkv, 0.477, 0.325, 0.9924192275650956, 0.0296, 0.0988, 0.226, 0.33, 0.172
1oQW9ELulouzVKoeqXmkJv, 0.804, 0.622, 0.9922787794540106, 0.0389, 0.11, 0.301, 0.141, 0.764
2QloUyCqK1enErCSmUniNu, 0.73, 0.762, 0.9953069777515503, 0.322, 0.0169, 0.0749, 0.197, 0.744
1ZQndK2NBHKKOaS8n1CTGP, 0.549, 0.446, 0.9936462644770624, 0.258, 0.536, 0, 0.0442, 0.511
3IgnYVuOIMEOaczLDhTyAL, 0.727, 0.501, 0.9947362788416294, 0.0293, 0.0221, 0.000217, 0.102, 0.833
7pTfkMKyMF9m8Wb1bicpy0, 0.517, 0.776, 0.9923630483206615, 0.0502, 0.0969, 0.00763, 0.111, 0.952
6iwXzkhrOgokSyTmKZQvym, 0.636, 0.581, 0.9939518247577644, 0.0458, 0.232, 0.00596, 0.15, 0.727
1Z2FvDFZSDQ23s4BDqpWqZ, 0.654, 0.753, 0.9938182277740494, 0.395, 0.303, 8.08e-05, 0.13, 0.371
2FTOLKjQUswhpdMFq15Raf, 0.925, 0.628, 0.9937969892792025, 0.131, 0.0604, 0, 0.358, 0.81
0ptmBzEt6qslc4G5Iw0Y0E, 0.843, 0.551, 0.9942279251907753, 0.156, 0.316, 0, 0.0636, 0.962
2VOZqahS75REorZBJtIT3S, 0.666, 0.512, 0.9904351410787436, 0.0428, 0.816, 0.853, 0.248, 0.847
1XEmDXspcHDxeiRX9hpfxo, 0.702, 0.835, 0.9961729602511182, 0.332, 0.293, 0, 0.157, 0.653
4S8vtRJ78uTUGvTZF3dEmR, 0.851, 0.533, 0.9945677411083274, 0.262, 0.495, 1.12e-05, 0.108, 0.602
5ztglZ0RD9EewbalNjWzF5, 0.616, 0.74, 0.9930961189492514, 0.0389, 0.00686, 0.0218, 0.106, 0.149
5SZw9E4I8wQfJaVJkVUlaY, 0.215, 0.899, 0.9941539330151794, 0.225, 0.165, 0.668, 0.677, 0.194
28HcFw1nyzWXJ12jC7hNiL, 0.516, 0.32, 0.9901617810966807, 0.036, 0.744, 1.06e-05, 0.114, 0.609
161iDrAGFqkzeXSaxworBs, 0.555, 0.12, 0.9825227740791311, 0.0433, 0.973, 0.303, 0.285, 0.672
0c5CeJpuqOYUNoYudHlwiK, 0.418, 0.648, 0.9918320859494866, 0.0351, 0.402, 0.858, 0.0927, 0.724
6lJvwHv7kQcXFjRwVaicwM, 0.805, 0.949, 0.9960695082278314, 0.131, 0.17, 0.00417, 0.123, 0.589
5ROOB1w1JX6EE35Okui9YO, 0.75, 0.427, 0.9925583054507066, 0.33, 0.03, 0, 0.106, 0.772
7GX5flRQZVHRAGd6B4TmDO, 0.732, 0.75, 0.9946335119310793, 0.231, 0.00264, 0, 0.109, 0.401
2pY99npaZKTVAyw2DhV9Bo, 0.707, 0.5, 0.9885825962378958, 0.0387, 0.136, 0, 0.237, 0.77
5b1G67cObV1OkFEhWjCoOG, 0.477, 0.34, 0.9901809642533167, 0.0411, 0.925, 0.825, 0.101, 0.0966
5XlQOhIlOqF3PtL6PUeFst, 0.671, 0.338, 0.9925596756761805, 0.117, 0.554, 0, 0.494, 0.496
0rT9f5BSZrZ6DvzfBEckG0, 0.708, 0.655, 0.9971519863522913, 0.0883, 0.0583, 2.1e-06, 0.11, 0.545
