genreID, genreName
807, korean dream pop
808, gauze pop
809, eurodance
810, italo house
811, future bass
812, wave
813, bc underground hip hop
814, canadian trap
815, witch house
816, japanese psychedelic
817, proto-techno
818, rock independant francais
819, classic italian pop
820, swedish americana
821, swedish singer-songwriter
822, minnesota hip hop
823, samba de roda
824, gothenburg indie
825, swedish indie pop
826, broken beat
827, milwaukee hip hop
828, saskatchewan indie
829, south african jazz
830, world
831, socal indie
832, rva indie
833, ectofolk
834, indiecoustica
835, experimental guitar
836, gamecore
837, jacksonville indie
838, san antonio rap
839, hammond organ
840, jazz organ
841, nz electronic
842, nz jazz
843, australian hip hop
844, eugene indie
845, experimental house
846, icelandic indie
847, one-person band
848, northern irish indie
849, alabama rap
850, avant-garde
851, atlanta bass
852, indian jazz
853, experimental indie
854, nova mpb
855, pop lgbtq+ brasileira
856, rochester mn indie
857, minecraft
858, phoenix indie
859, japanese post-punk
860, nu jazz
861, uk funky
862, classic house
863, leicester indie
864, rhode island rap
865, comedy rap
866, comic
867, new orleans indie
868, nu-metalcore
869, vintage french electronic
870, london on indie
871, jazz violin
872, polish jazz
873, pittsburgh indie
874, queercore
875, riot grrrl
876, japanese old school hip hop
877, cambridgeshire indie
878, psychedelic doom
879, retro metal
880, stoner metal
881, swedish stoner rock
882, canadian psychedelic
883, moog
884, dallas indie
885, desi hip hop
886, j-indie
887, neoclassicism
888, mexican indie
889, tijuana indie
890, french shoegaze
891, neo-classical
892, african-american classical
893, appalachian folk
894, jazz quartet
895, denton tx indie
896, kentucky hip hop
897, lo-fi chill
898, classic swedish pop
899, swedish indie rock
900, toronto indie
901, neoclassical darkwave
902, irish hip hop
903, acid jazz
904, japanese indie rock
905, afro dancehall
906, azonto
907, nigerian hip hop
908, nigerian pop
909, liquid funk
910, swedish indie folk
911, cartoon
912, choro
913, pagode
914, pop nacional antigas
915, indie triste
916, bossa nova jazz
917, spytrack
918, kawaii future bass
919, cuban rumba
920, musica tradicional cubana
921, american 21st century classical
922, contemporary choir
923, idol kayo
924, vapor house
925, british indie rock
926, britpop
927, isle of wight indie
928, south carolina hip hop
929, anime
930, japanese new wave
931, techno kayo
932, jovem guarda
933, livetronica
934, nashville indie
935, azeri traditional
936, nasheed
937, buffalo ny indie
938, american modern classical
939, darbuka
940, jazz house
941, crunk
942, memphis hip hop
943, deep smooth jazz
944, shaabi
945, mahraganat
946, brass band
